epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.935418108132831,0.33334963280549124,1.681458263518303,0.41067319432704047
2,1.6543550890662118,0.4167507719430014,1.5404735012820792,0.4602881093265709
3,1.5449727180169213,0.46064329452755004,1.413217171714019,0.5007005103158949
4,1.5147181332306596,0.4712796780789051,1.4413508359713374,0.4952510096740866
5,1.4924433391075456,0.4787376645594709,1.4220243061816056,0.5100028176951253
6,1.4694549525538427,0.4867922117210156,1.390572333360234,0.5130337966876428
7,1.4569705850488939,0.49183657236444056,1.3850077819117572,0.5203754578754579
8,1.46142348490368,0.490819485301788,1.336578926035068,0.5391013900629286
9,1.4843904055927495,0.48300682230706643,1.3601357719428875,0.5329846435615666
10,1.4812448090508734,0.4837011798209927,1.360300053328545,0.5286817882971729
11,1.4655330089198533,0.4893199338632618,1.3384301137799839,0.5354873047180739
12,1.4362081030831735,0.5005893889132295,1.3268954796055579,0.5450694248771172
13,1.4560175311624841,0.49356757630760884,1.4241544009430473,0.5077193106039259
14,1.4671558027848841,0.4895774655233565,1.3230297517903475,0.5459147334147334
15,1.4107878995751015,0.5103619004402161,1.3165689792046744,0.54095245922169
16,1.4244351394957782,0.5049217886127976,1.3033665780666979,0.5510100654331423
17,1.4166537670804549,0.5077852798814964,1.3964432552389685,0.521762781378166
18,1.4116264480927794,0.5098435772255951,1.30194476375019,0.5462160702545318
19,1.3984329443527455,0.5151780684734305,1.2928540241315354,0.551186171378479
20,1.4025495055197814,0.5125818885481213,1.286299860035501,0.5536262170877555
21,1.3955553080988807,0.5158202676764516,1.2961956426873502,0.5477540621771391
22,1.378079030105431,0.5221777137969164,1.2817730383786674,0.5538512413512413
23,1.4518653513958386,0.4958364628319876,1.3683080407885861,0.5271848877618108
24,1.4159053176183216,0.5070915743464564,1.3168458353889039,0.5443356501048808
25,1.3959165061975873,0.5150378930128726,1.2909241772624012,0.553499029460568
26,1.3897399792090515,0.5175173687175314,1.3198211803928124,0.5340569330953946
27,1.4320923766796168,0.5010503379858546,1.3272291633888031,0.5402793431639585
28,1.382673121966545,0.5190834220024618,1.3211614519572052,0.5408546225853919
29,1.4555426332698946,0.4934052335649162,1.3860287110940361,0.5244728562036254
30,1.447057852127061,0.4954465794579708,1.30368423240629,0.549043549043549
31,1.416659964098185,0.5067447215789364,1.3075309905743813,0.5477481919789612
32,1.4056407382334,0.5109291220713108,1.285731392673846,0.5552229109921417
33,1.4177977351029505,0.5072650007302163,1.3159892011012673,0.5461788923327385
34,1.427078770963442,0.5042737215997997,1.3475431806970999,0.5356908049215742
35,1.420055850381205,0.5061481608979574,1.2976342317407394,0.5518123258507874
36,1.4008740188034319,0.5138969299618201,1.2879091744813824,0.555958642497104
37,1.3949821719400837,0.5156553170182137,1.2712009497638839,0.5607056760902914
38,1.3837468357348421,0.5194648296509566,1.295421947640442,0.5459616950001566
39,1.3978305030407785,0.5144837109595043,1.2901855960729753,0.5543228139381986
40,1.3847350955509368,0.519325306169285,1.366661271096055,0.5143995961303653
41,1.4002194434596502,0.510727008616553,1.2881099370206708,0.5530372405372406
42,1.424128536212447,0.5036204387557114,1.288564340391335,0.551833849910773
43,1.4319611248642032,0.5012504955039536,1.3341902593460613,0.5343621834006449
44,1.4654984429812228,0.48885637687509126,1.3473955983426302,0.5342897842897842
45,1.4852923003018221,0.4818554275938328,1.3414331742810028,0.5354149056072133
46,1.4412514810153652,0.4980003807556696,1.40469934928024,0.5078308443693059
47,1.4525523315283126,0.49353106548997516,1.3151285795250698,0.5450361604207759
