epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.03217565475376,0.30177364336233337,2.3996507226049233,0.29034782880936727
2,1.862775676750017,0.35080375957105003,2.4920786348690274,0.2771300992454839
3,1.8285281516034724,0.3621149412697419,2.9349533613022842,0.27224218089602703
4,1.805432205535357,0.3710255367090192,3.1600383104415286,0.289612097304405
5,1.791860840746926,0.37552810289791577,3.2037606465695876,0.28693333020256095
6,1.7795764284989872,0.38011999019423753,3.463741238770827,0.28472613568767413
7,1.7708042332840102,0.38372282552001835,3.1340700412280613,0.3021645377414608
8,1.7643748310003198,0.3865693653376729,3.05439936592336,0.29955816975047744
9,1.757158298194079,0.38891518537063696,3.27552166609999,0.3080934379011302
10,1.750363974381114,0.39191168033214413,3.240084907048499,0.3179455871763564
11,1.746326299070434,0.3931908629070956,2.9239523554191313,0.319147021070098
12,1.7390154532444515,0.39546105338924703,3.004991824473038,0.3272205002974234
13,1.7345700490228726,0.3977123364836953,3.3305931301831633,0.3091911649603957
14,1.7296200593785132,0.3998716905551731,3.2671851187757417,0.319843617920541
15,1.724957750975776,0.4017487377688761,3.1830366421872176,0.3129070004070004
16,1.7166155158648946,0.4035116886774739,3.013878635783789,0.32112723458877307
17,1.7034906725619752,0.40649905593457264,3.0918151441061,0.31891221314298235
18,1.6962186803764228,0.4082717865264651,3.0171265101615177,0.31110876303183993
19,1.6906611901371587,0.4094140535352903,3.017540720694573,0.3092342130803669
20,1.6863177787384378,0.41115418518286706,3.088617579540785,0.3149987476910554
21,1.6819937212318814,0.4123036239594417,3.3531916560977955,0.2950968191352807
22,1.6777103931953432,0.4134804458492416,3.261544158254091,0.3064771766694844
