13388,872,163,92,2,1,0,2,10,0,0,0,0,0,0,0,0,3188,351,0,0,154,3071,0
50,12794,1382,10,0,0,0,0,2,0,0,0,0,0,0,0,0,3547,484,0,0,142,2883,0
13,2575,11521,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3667,529,0,0,131,2853,0
14,0,107,13480,340,1,87,58,1,0,0,0,0,0,0,0,0,2710,231,0,0,159,4087,19
13,0,117,4,11951,698,539,172,0,0,0,0,0,0,0,0,0,2838,203,0,0,171,4588,0
10,0,98,3,450,10847,820,1199,0,0,0,0,0,0,0,0,0,2781,213,0,0,175,4698,0
14,0,114,6,506,10876,821,1137,1,0,0,0,0,0,0,0,0,2744,248,0,0,156,4671,0
19,0,105,3,510,10893,797,1156,0,0,0,0,0,0,0,0,0,2749,243,0,0,181,4638,0
8,0,110,22,835,4699,334,139,7536,0,0,0,0,0,0,0,0,2770,242,0,0,175,4388,36
10,0,135,164,629,50,317,141,10383,2132,0,0,0,0,0,0,0,2723,209,0,0,171,4126,104
16,0,123,49,810,460,352,172,11863,0,1,0,0,0,0,0,0,2716,227,0,0,141,4284,80
13,0,121,75,770,264,364,150,12093,18,22,0,0,11,0,0,0,2720,220,0,0,170,4208,75
9,0,106,49,876,756,347,157,11470,0,0,0,0,0,0,0,0,2762,229,0,0,181,4249,103
18,0,86,60,884,595,340,169,11664,1,0,0,0,0,0,0,0,2751,252,0,0,167,4231,76
9,0,101,70,846,376,338,157,11925,0,3,0,2,9,0,0,0,2707,216,0,0,178,4261,96
14,0,123,56,845,479,345,173,11809,0,1,0,0,2,0,0,0,2718,241,0,0,174,4230,84
11,0,119,67,803,375,365,154,11930,1,2,0,7,27,0,0,0,2692,255,0,0,182,4202,102
12,0,121,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7442,11075,0,0,159,2484,0
13,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4673,13895,0,0,140,2467,0
10,0,124,1264,201,0,46,34,0,0,0,0,0,0,0,0,0,2728,221,11544,568,176,3997,381
12,0,125,1967,180,0,60,42,0,0,0,0,0,0,0,0,0,2697,218,7062,4354,151,4046,380
17,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2864,192,0,0,14657,3451,0
9,0,103,0,7,0,2,0,0,0,0,0,0,0,0,0,0,2751,226,0,0,180,18016,0
12,0,101,101,1084,210,91,594,1,0,0,0,0,0,0,0,0,2714,227,0,0,197,4242,11720
