epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.9936718718611777,0.30615168158394357,2.3399558281881263,0.2665206944053098
2,1.8559280400586475,0.34824865431557867,2.4665007281750264,0.28753404714943176
3,1.8173788933941892,0.3614570945734493,2.2020816021297933,0.2975133840518456
4,1.7897941549919978,0.3699289082222361,2.099561483675606,0.31837606837606836
5,1.7743771021038468,0.3753357691264526,2.2571314206137374,0.2837321154628847
6,1.7612196480553124,0.37966882080490705,2.2070790138683645,0.3082323659246736
7,1.7522116769763112,0.383327726314911,2.117335275688389,0.3221858269935193
8,1.7441856898147452,0.38633660887525817,2.0325500482865912,0.31329052002128926
9,1.7379364694461352,0.38830949698524964,2.1748692926463375,0.301565777527316
10,1.7319085591649832,0.3906155463061484,2.0652880589984473,0.3206204408127485
11,1.728633047963305,0.39243456739896937,1.95306065616474,0.33727810650887574
12,1.7221904860544452,0.39412384469341344,1.9785933114854637,0.32953335837951225
13,1.7139881801312742,0.39624864388391645,1.927454146847102,0.3474159387620926
14,1.707915840141763,0.39836496734889737,1.8676177177959552,0.3572622178391409
15,1.7043556582061943,0.39910952723706994,1.8970687702949287,0.3573698381390689
