15146,801,160,243,15,2,64,10,156,47,10,18,87,35,15,2,0,143,2241,482,141,626,595,255
394,14096,1152,230,19,1,69,13,153,54,6,14,65,38,15,0,0,142,2883,421,163,599,539,228
263,1181,13891,210,9,0,77,11,153,35,5,12,79,26,7,4,0,145,3198,434,147,621,522,264
127,7,7,15964,19,4,142,11,243,128,13,30,136,56,13,1,0,103,867,672,231,961,1113,446
117,6,8,805,13764,85,371,29,304,276,18,52,154,73,32,12,0,83,979,635,201,1016,1538,736
139,13,7,822,510,12874,755,47,332,242,15,51,125,64,22,25,2,94,948,608,249,995,1533,822
97,15,11,845,536,1065,12322,262,309,272,11,46,165,61,26,17,0,111,886,670,234,1031,1578,724
105,10,9,839,520,1085,2079,10526,316,260,17,42,135,62,33,17,3,95,928,679,263,974,1562,735
117,10,12,848,349,119,362,18,13316,401,37,65,279,77,43,41,3,95,928,648,210,994,1442,880
129,10,13,805,171,19,193,22,511,13054,229,132,520,288,124,60,8,87,904,676,209,972,1330,828
138,10,17,813,229,29,230,24,1049,703,10994,111,972,475,205,181,21,82,930,658,187,986,1429,821
115,7,13,831,170,22,210,23,668,878,1647,9867,982,373,198,180,15,101,880,650,239,967,1441,817
119,10,9,825,246,26,234,21,998,609,68,80,12528,116,135,60,12,80,939,687,232,983,1395,882
126,10,12,827,245,34,239,26,1360,656,183,80,881,11113,150,282,14,103,909,645,219,1013,1386,781
117,9,10,890,220,30,225,17,707,778,132,132,1413,291,9118,1195,1006,96,896,651,202,1028,1350,781
147,4,13,857,213,27,194,30,923,692,322,157,1250,749,486,9901,195,113,890,672,224,981,1456,798
125,9,11,869,204,21,204,24,606,823,130,147,1386,256,2359,2357,6656,89,964,669,217,965,1396,807
150,80,48,227,10,1,64,12,149,34,6,13,67,37,12,5,0,3718,14709,393,157,595,524,283
154,100,51,226,17,0,75,13,118,42,13,19,83,25,15,1,0,742,17584,420,147,618,571,260
40,6,5,187,18,1,79,6,146,51,6,13,87,27,10,1,0,83,651,14234,3973,905,498,267
39,3,4,204,15,2,60,8,135,40,6,13,67,35,6,1,0,88,611,6348,11934,912,516,247
44,8,5,211,21,0,66,12,159,42,6,14,66,23,11,2,0,66,723,630,198,18112,565,310
113,11,13,744,48,8,122,17,240,146,13,41,115,53,12,8,2,87,965,696,229,1043,16082,486
127,9,9,914,199,23,228,30,290,293,14,46,125,73,30,13,3,90,894,679,221,1009,1372,14603
